cran_package,name_length,word_count,name_freq_score,num_conflicts,conflict_type,is_same_owner,title_similarity_score,official_url,scraped_at_utc,conflict_url,stars,language,topics,created_at,pushed_at,forks_count,open_issues_count,description
ggplot2,7,1,-20.72326583694641,200,official,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:37.158929+00:00,https://github.com/tidyverse/ggplot2,6761,R,"data-visualisation, r, visualisation",2008-05-25T01:21:32Z,2025-08-19T07:46:04Z,2093,108,An implementation of the Grammar of Graphics in R
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:37.995735+00:00,https://github.com/claragranell/ggplot2,56,,,2021-11-09T09:16:07Z,2021-11-09T09:17:11Z,8,0,ggplot2 plotting related files
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:38.926240+00:00,https://github.com/clayford/ggplot2,3,R,,2015-05-13T21:06:23Z,2021-12-08T14:30:39Z,4,0,"Files for UVA StatLab workshop, Fall 2016."
ggplot2,7,1,-20.72326583694641,200,clone_or_imitation,False,1.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:39.760344+00:00,https://github.com/cran/ggplot2,4,R,,2014-03-13T04:52:09Z,2025-04-09T10:43:36Z,3,0,":exclamation: This is a read-only mirror of the CRAN R package repository.  ggplot2 — Create Elegant Data Visualisations Using the Grammar of Graphics. Homepage: https://ggplot2.tidyverse.org, https://github.com/tidyverse/ggplot2  Report bugs for this package: https://github.com/tidyverse/ggplot2/issues"
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:40.577643+00:00,https://github.com/kirver/ggplot2,2,R,,2022-03-28T16:08:17Z,2022-04-26T18:23:25Z,3,0,Repo to accompany the ggplot2 workshop from Jasper Ridge data management & publishing series. 
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:41.398361+00:00,https://github.com/bayesball/ggplot2,0,,,2018-08-02T17:14:27Z,2018-08-31T11:25:21Z,3,0,Examples of graphics using ggplot2 package
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:42.224777+00:00,https://github.com/mnunes/ggplot2,0,,,2017-08-13T19:15:57Z,2017-08-13T19:18:37Z,2,0,Um pequeno tutorial (em português!) sobre o ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:43.042704+00:00,https://github.com/dami82/ggplot2,0,R,,2016-10-27T03:12:46Z,2016-10-28T22:44:26Z,2,0,A set of tutorials for creating plots and charts using R and ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:43.878226+00:00,https://github.com/posit-conf-2025/ggplot2,2,Lua,,2025-06-15T01:02:31Z,2025-08-22T15:00:07Z,0,0,Mastering Data Visualization with ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:44.695309+00:00,https://github.com/wisc-viz/ggplot2,2,R,,2013-09-21T14:59:32Z,2013-10-03T16:56:31Z,0,0,Code we're generating and using as we learn to use ggplot2.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:45.546892+00:00,https://github.com/crowleyarachel/ggplot2,0,,,2019-10-01T03:08:48Z,2019-10-01T03:18:55Z,0,0,ggplot 2 lecture repo
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:46.415784+00:00,https://github.com/Qiaoyan-Li/ggplot2,0,,,2022-08-24T10:53:03Z,2022-08-24T10:53:03Z,0,0,For sharing the most commonly or frequently used codes in CO2 flux or soil carbon cycle plotting figures.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:47.247496+00:00,https://github.com/swhitt1987/ggplot2,0,,,2023-04-20T18:54:54Z,2023-04-20T18:56:19Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:48.073807+00:00,https://github.com/sivakv2/ggplot2,0,,,2023-09-10T02:52:29Z,2023-09-10T02:52:30Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:48.886642+00:00,https://github.com/ibpwyw/ggplot2,0,,,2016-07-20T08:56:11Z,2015-12-10T23:49:27Z,0,0,ggplot2 Elegant Graphics for Data Analysis
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:49.687798+00:00,https://github.com/vikas306/GGPLOT2,0,R,,2017-09-16T14:03:13Z,2017-09-16T14:11:51Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:50.549872+00:00,https://github.com/robertclerc/ggplot2,0,,,2021-06-02T20:38:56Z,2022-07-24T17:52:29Z,0,0, Various personal creations of figures with the ggplot2 package from R
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:51.438395+00:00,https://github.com/brandonviry/ggplot2,0,,,2022-11-23T10:00:29Z,2023-09-21T09:53:26Z,0,10,Guide utilisation GGPLOT 2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:52.265020+00:00,https://github.com/lorine254/ggplot2,0,,,2024-06-06T10:47:36Z,2024-06-06T10:47:37Z,0,0,intro and patchwork
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:53.092437+00:00,https://github.com/carlosneftaly/ggplot2,0,,,2018-06-02T03:11:42Z,2018-06-02T03:11:43Z,0,0,Visualización de datos con ggplot2 
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:53.932505+00:00,https://github.com/programeralebrije/ggplot2,1,R,,2021-07-28T18:11:05Z,2021-08-05T04:08:06Z,0,1,the plotting package ggplot2.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:54.764652+00:00,https://github.com/sdevine188/ggplot2,0,R,,2020-06-25T22:51:08Z,2022-04-13T21:53:19Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:55.571660+00:00,https://github.com/daniel-henning/ggplot2,0,R,,2021-03-15T08:58:51Z,2021-03-16T03:33:51Z,0,0,All kinds of graphs in publication
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:56.404669+00:00,https://github.com/dmirandasaavedra/ggplot2,0,,,2024-05-11T12:14:55Z,2024-05-11T12:14:55Z,0,0,
